Reporting starts,Campaign name,Objective,Reach,Impressions,Frequency,Amount spent (VND),CTR (link click-through rate),CPC (All) (VND),"CPM (cost per 1,000 impressions) (VND)","Cost per 1,000 people reached (VND)",Conversions,Conversion values,Cost per conversion,Post comments,Link clicks,Messaging Conversations Started
2025-04-11,11_Q7_Hon hop,Messages,1730,1858,1.073988,96983,1.23789,673.493056,52197.52422,56059.53757,0,0,0,0,23,3
2025-04-11,11_Q7_Hon hop,Messages,156,180,1.153846,18737,0.555556,1561.416667,104094.4444,120108.9744,0,0,0,0,1,0
2025-04-11,07_HEAD_Hoa cat canh,Engagement,667,914,1.370315,95362,1.203501,696.072993,104334.7921,142971.5142,0,0,0,0,11,2
2025-04-11,BR_HTM_Tuong tac,Engagement,924,992,1.073593,25996,1.108871,376.753623,26205.64516,28134.19913,0,0,0,0,11,0
2025-04-11,BR_HTM_Tuong tac,Engagement,758,1005,1.325858,30712,3.681592,117.221374,30559.20398,40517.1504,0,0,0,0,37,0
2025-04-11,07_Q7_Hoa cat canh,Engagement,381,508,1.333333,51854,0.19685,1296.35,102074.8032,136099.7375,0,0,0,0,1,0
2025-04-11,10_HEAD_Lan Ho diep,Messages,223,239,1.071749,17024,0,1547.636364,71230.12552,76340.80718,0,0,0,0,0,0
2025-04-11,10_HEAD_Lan Ho diep,Messages,801,857,1.069913,64450,0,1401.086957,75204.2007,80461.9226,0,0,0,0,0,0
2025-04-11,07_Q7_Hoa cat canh,Engagement,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-11,08_HEAD_Daily Flower,Messages,829,1032,1.244873,64139,0.872093,791.839506,62150.1938,77369.11942,0,0,0,0,9,3
2025-04-11,05_HEAD_Thiet ke,Messages,168,171,1.017857,27817,0,2318.083333,162672.5146,165577.381,0,0,0,0,0,0
2025-04-11,11_Q7_Hon hop,Messages,2384,2563,1.075084,95395,1.287554,529.972222,37220.05462,40014.68121,0,0,0,1,33,11
2025-04-11,10_HEAD_Lan Ho diep,Messages,975,1187,1.217436,97445,0.758214,1094.88764,82093.51306,99943.58974,0,0,0,0,9,5
2025-04-11,10_HEAD_Lan Ho diep,Messages,853,955,1.119578,62993,0.628272,912.942029,65961.25655,73848.76905,0,0,0,1,6,2
2025-04-11,BR_Mokar_Tuong tac,Engagement,1458,1509,1.034979,25881,0.198807,176.061224,17151.09344,17751.02881,0,0,0,2,3,1
2025-04-11,11_Q2_Hon hop,Messages,778,913,1.173522,86429,0.547645,919.457447,94664.84118,111091.2596,0,0,0,0,5,8
2025-04-11,10_HEAD_Lan Ho diep,Messages,319,332,1.040752,24346,0.301205,1058.521739,73331.3253,76319.74922,0,0,0,1,1,2
2025-04-11,07_HEAD_Hoa cat canh,Engagement,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-10,11_Q7_Hon hop,Messages,385,431,1.119481,38191,0,1527.64,88610.20882,99197.4026,0,0,0,0,0,1
2025-04-10,05_HEAD_Thiet ke,Messages,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-10,10_HEAD_Lan Ho diep,Messages,782,975,1.246803,86895,0.923077,1128.506494,89123.07692,111118.9258,0,0,0,1,9,4
2025-04-10,07_HEAD_Hoa cat canh,Engagement,740,950,1.283784,102008,0.947368,1259.358025,107376.8421,137848.6486,0,0,0,0,9,3
2025-04-10,04_HEAD_Breezy,Messages,1063,1203,1.131703,51302,1.080632,545.765957,42645.05403,48261.52399,0,0,0,0,13,3
2025-04-10,07_Q2_Hoa cat canh,Engagement,477,592,1.24109,51632,0.844595,1122.434783,87216.21622,108243.1866,0,0,0,0,5,0
